tracado_via
Reta
Curva
Não Informado
Interseção de vias
Rotatória
Desvio Temporário
Interseção de Vias
Reta;Declive
Retorno Regulamentado
Reta;Aclive
Curva;Declive
Declive
Aclive;Reta
Declive;Reta
Aclive
Viaduto
Reta;Interseção de Vias
Declive;Curva
Curva;Aclive
Ponte
Interseção de Vias;Reta
Aclive;Curva
Reta;Em Obras
Reta;Retorno Regulamentado
Reta;Ponte
Em Obras;Reta
Retorno Regulamentado;Reta
Em Obras
Ponte;Reta
Curva;Interseção de Vias
Reta;Viaduto
Túnel
Reta;Rotatória
Interseção de Vias;Rotatória
Interseção de Vias;Curva
Viaduto;Reta
Rotatória;Reta
Curva;Viaduto
Rotatória;Interseção de Vias
Curva;Retorno Regulamentado
Curva;Em Obras
Retorno Regulamentado;Curva
Curva;Rotatória
Viaduto;Curva
Interseção de Vias;Viaduto
Em Obras;Ponte;Reta;Desvio Temporário
Curva;Interseção de Vias;Aclive;Retorno Regulamentado
Curva;Aclive;Em Obras;Viaduto
Curva;Em Obras;Desvio Temporário;Declive
Aclive;Curva;Ponte
Túnel;Curva;Interseção de Vias
Retorno Regulamentado;Túnel;Curva
Rotatória;Reta;Interseção de Vias;Retorno Regulamentado
Aclive;Rotatória;Retorno Regulamentado
Rotatória;Retorno Regulamentado;Reta;Interseção de Vias;Aclive
Rotatória;Declive;Viaduto;Interseção de Vias
Reta;Ponte;Desvio Temporário;Em Obras
Reta;Declive;Viaduto;Interseção de Vias
Em Obras;Desvio Temporário;Retorno Regulamentado
Reta;Declive;Interseção de Vias;Em Obras
Reta;Túnel;Declive
Interseção de Vias;Rotatória;Aclive;Reta
Retorno Regulamentado;Em Obras;Reta;Interseção de Vias
Interseção de Vias;Curva;Aclive;Viaduto
Interseção de Vias;Em Obras;Retorno Regulamentado
Em Obras;Viaduto;Desvio Temporário;Aclive
Declive;Interseção de Vias;Rotatória;Curva
Interseção de Vias;Ponte;Reta;Em Obras;Declive
Desvio Temporário;Reta;Aclive
Curva;Ponte;Viaduto
Aclive;Viaduto;Interseção de Vias;Reta
Reta;Desvio Temporário;Aclive;Em Obras
Interseção de Vias;Curva;Declive;Retorno Regulamentado
Interseção de Vias;Reta;Em Obras;Declive
Viaduto;Em Obras;Aclive
Viaduto;Em Obras;Desvio Temporário
Rotatória;Aclive;Reta;Interseção de Vias
Desvio Temporário;Curva;Interseção de Vias
Interseção de Vias;Em Obras;Reta;Rotatória;Viaduto
Curva;Declive;Em Obras;Desvio Temporário
Retorno Regulamentado;Viaduto;Interseção de Vias;Declive
Aclive;Interseção de Vias;Rotatória
Ponte;Em Obras;Desvio Temporário
Viaduto;Túnel;Interseção de Vias;Reta;Declive;Rotatória
Declive;Interseção de Vias;Curva;Viaduto
Viaduto;Retorno Regulamentado;Reta;Declive
Reta;Desvio Temporário;Interseção de Vias;Ponte;Rotatória;Em Obras
Em Obras;Viaduto;Aclive;Reta
Reta;Aclive;Viaduto;Desvio Temporário;Em Obras
Viaduto;Interseção de Vias;Curva;Aclive
Declive;Viaduto;Em Obras;Reta
Retorno Regulamentado;Desvio Temporário;Curva;Em Obras;Interseção de Vias;Túnel;Rotatória;Viaduto;Ponte;Declive
Reta;Ponte;Desvio Temporário
Viaduto;Em Obras;Reta;Retorno Regulamentado
Ponte;Em Obras;Retorno Regulamentado;Declive
Desvio Temporário;Rotatória
Retorno Regulamentado;Interseção de Vias;Reta;Declive
Rotatória;Curva;Declive;Interseção de Vias
Túnel;Aclive;Interseção de Vias;Em Obras;Desvio Temporário;Rotatória;Retorno Regulamentado;Viaduto;Curva
Aclive;Rotatória;Reta
Interseção de Vias;Retorno Regulamentado;Reta;Em Obras
Rotatória;Em Obras;Reta;Interseção de Vias
Retorno Regulamentado;Interseção de Vias;Reta;Viaduto;Declive
Viaduto;Reta;Retorno Regulamentado;Interseção de Vias
Curva;Viaduto;Aclive;Interseção de Vias
Rotatória;Aclive;Retorno Regulamentado;Reta
Reta;Interseção de Vias;Desvio Temporário;Em Obras
Em Obras;Desvio Temporário;Declive;Curva
Desvio Temporário;Ponte;Em Obras
Rotatória;Curva;Aclive;Interseção de Vias
Interseção de Vias;Reta;Aclive;Retorno Regulamentado
Desvio Temporário;Em Obras;Ponte
Viaduto;Rotatória;Retorno Regulamentado;Interseção de Vias
Rotatória;Em Obras;Viaduto
Curva;Declive;Desvio Temporário;Em Obras
Interseção de Vias;Em Obras;Rotatória;Reta
Interseção de Vias;Em Obras;Declive
Declive;Reta;Interseção de Vias;Em Obras
Retorno Regulamentado;Reta;Declive;Interseção de Vias
Reta;Viaduto;Retorno Regulamentado
Retorno Regulamentado;Ponte;Reta
Viaduto;Interseção de Vias;Túnel
Aclive;Reta;Desvio Temporário;Em Obras
Interseção de Vias;Viaduto;Curva;Retorno Regulamentado;Aclive
Reta;Desvio Temporário;Retorno Regulamentado
Reta;Em Obras;Declive;Túnel
Retorno Regulamentado;Aclive;Interseção de Vias
Declive;Reta;Desvio Temporário;Em Obras
Em Obras;Curva;Retorno Regulamentado
Reta;Ponte;Viaduto
Rotatória;Aclive;Interseção de Vias
Declive;Curva;Túnel
Em Obras;Retorno Regulamentado;Declive;Reta
Interseção de Vias;Em Obras;Reta;Viaduto
Declive;Túnel
Desvio Temporário;Reta;Declive
Reta;Rotatória;Declive;Retorno Regulamentado
Curva;Viaduto;Declive;Interseção de Vias;Retorno Regulamentado
Interseção de Vias;Viaduto;Aclive;Reta
Interseção de Vias;Em Obras;Aclive;Curva
Reta;Rotatória;Desvio Temporário;Interseção de Vias
Desvio Temporário;Aclive
Aclive;Em Obras;Reta;Interseção de Vias
Curva;Rotatória;Aclive
Interseção de Vias;Curva;Túnel;Aclive
Viaduto;Curva;Interseção de Vias
Em Obras;Ponte;Curva
Rotatória;Interseção de Vias;Viaduto;Reta
Declive;Reta;Em Obras;Interseção de Vias
Desvio Temporário;Viaduto;Reta;Em Obras;Interseção de Vias
Interseção de Vias;Reta;Declive;Em Obras
Desvio Temporário;Curva;Declive
Reta;Retorno Regulamentado;Declive;Interseção de Vias
Interseção de Vias;Retorno Regulamentado;Aclive;Viaduto
Em Obras;Curva;Rotatória;Interseção de Vias
Interseção de Vias;Em Obras;Viaduto
Em Obras;Desvio Temporário;Rotatória
Em Obras;Desvio Temporário;Reta;Declive
Viaduto;Túnel;Curva;Interseção de Vias
Interseção de Vias;Curva;Desvio Temporário;Em Obras
Retorno Regulamentado;Rotatória;Declive;Reta
Desvio Temporário;Curva;Declive;Em Obras
Em Obras;Viaduto;Desvio Temporário;Curva
Retorno Regulamentado;Viaduto;Curva;Rotatória;Interseção de Vias
Em Obras;Reta;Interseção de Vias;Aclive
Rotatória;Viaduto;Curva;Aclive
Ponte;Em Obras;Rotatória;Desvio Temporário;Curva;Aclive;Interseção de Vias;Retorno Regulamentado;Viaduto;Túnel
Reta;Túnel;Aclive;Interseção de Vias
Curva;Desvio Temporário;Aclive;Em Obras
Rotatória;Retorno Regulamentado;Curva
Desvio Temporário;Reta;Aclive;Ponte;Em Obras
Interseção de Vias;Reta;Viaduto;Declive;Retorno Regulamentado
Interseção de Vias;Aclive;Viaduto;Reta
Retorno Regulamentado;Desvio Temporário;Em Obras;Reta
Em Obras;Rotatória;Interseção de Vias;Aclive;Reta;Viaduto;Retorno Regulamentado;Ponte;Túnel;Desvio Temporário
Retorno Regulamentado;Aclive;Reta;Interseção de Vias
Desvio Temporário;Reta;Interseção de Vias
Rotatória;Curva;Viaduto;Interseção de Vias
Rotatória;Reta;Desvio Temporário
Reta;Em Obras;Rotatória
Em Obras;Retorno Regulamentado;Reta;Interseção de Vias
Interseção de Vias;Desvio Temporário;Reta;Em Obras
Viaduto;Em Obras;Curva;Interseção de Vias;Desvio Temporário;Rotatória
Ponte;Curva;Declive;Viaduto
Retorno Regulamentado;Rotatória;Em Obras;Reta
Desvio Temporário;Interseção de Vias
Desvio Temporário;Em Obras;Interseção de Vias
Rotatória;Retorno Regulamentado;Viaduto;Interseção de Vias
Rotatória;Túnel;Em Obras;Ponte;Declive;Viaduto;Retorno Regulamentado;Curva
Declive;Reta;Retorno Regulamentado;Interseção de Vias
Aclive;Viaduto;Retorno Regulamentado;Curva
Retorno Regulamentado;Em Obras;Desvio Temporário
Interseção de Vias;Rotatória;Desvio Temporário;Em Obras;Retorno Regulamentado;Aclive;Túnel;Viaduto;Ponte;Reta
Curva;Viaduto;Interseção de Vias;Rotatória
Reta;Túnel;Em Obras
Aclive;Ponte;Viaduto
Desvio Temporário;Aclive;Em Obras;Reta
Desvio Temporário;Em Obras;Curva;Declive
Reta;Interseção de Vias;Em Obras;Aclive
Reta;Viaduto;Retorno Regulamentado;Interseção de Vias
Retorno Regulamentado;Curva;Interseção de Vias;Aclive
Retorno Regulamentado;Rotatória;Declive
Reta;Declive;Viaduto;Retorno Regulamentado
Reta;Em Obras;Aclive;Desvio Temporário
Retorno Regulamentado;Reta;Túnel
Interseção de Vias;Rotatória;Reta;Viaduto;Retorno Regulamentado
Rotatória;Viaduto;Declive
Reta;Interseção de Vias;Viaduto;Declive
Curva;Rotatória;Declive;Viaduto
Em Obras;Interseção de Vias;Curva;Desvio Temporário
Retorno Regulamentado;Aclive;Viaduto;Curva
Em Obras;Reta;Viaduto;Aclive
Reta;Em Obras;Ponte;Declive;Desvio Temporário
Em Obras;Declive;Reta;Desvio Temporário
Curva;Interseção de Vias;Viaduto;Rotatória
Desvio Temporário;Rotatória;Em Obras
Em Obras;Ponte;Viaduto;Reta
Declive;Curva;Em Obras;Desvio Temporário;Ponte
Em Obras;Interseção de Vias;Viaduto;Reta
Aclive;Retorno Regulamentado;Interseção de Vias;Reta
Interseção de Vias;Declive;Viaduto
Reta;Desvio Temporário;Aclive
Curva;Interseção de Vias;Retorno Regulamentado;Viaduto
Curva;Interseção de Vias;Viaduto;Retorno Regulamentado
Desvio Temporário;Viaduto;Reta;Em Obras
Em Obras;Retorno Regulamentado;Interseção de Vias;Reta
Curva;Aclive;Retorno Regulamentado;Viaduto
Declive;Interseção de Vias;Reta;Viaduto
Aclive;Retorno Regulamentado;Viaduto;Reta
Reta;Interseção de Vias;Rotatória;Declive
Reta;Aclive;Desvio Temporário;Viaduto
Desvio Temporário;Aclive;Curva;Em Obras
Reta;Aclive;Interseção de Vias;Rotatória
Interseção de Vias;Curva;Em Obras
Ponte;Reta;Interseção de Vias
Declive;Viaduto;Interseção de Vias
Rotatória;Desvio Temporário;Em Obras
Reta;Em Obras;Viaduto;Aclive
Declive;Em Obras;Reta;Desvio Temporário
Ponte;Reta;Declive;Interseção de Vias
Rotatória;Curva;Retorno Regulamentado
Viaduto;Rotatória;Interseção de Vias;Em Obras
Reta;Interseção de Vias;Declive;Desvio Temporário;Em Obras
Interseção de Vias;Em Obras;Declive;Viaduto
Desvio Temporário;Reta;Aclive;Interseção de Vias
Reta;Retorno Regulamentado;Viaduto;Interseção de Vias
Rotatória;Reta;Viaduto
Interseção de Vias;Em Obras;Curva;Aclive
Rotatória;Declive;Viaduto
Reta;Interseção de Vias;Declive;Retorno Regulamentado
Curva;Túnel;Declive;Retorno Regulamentado
Aclive;Curva;Interseção de Vias;Rotatória
Desvio Temporário;Declive;Retorno Regulamentado
Viaduto;Declive;Curva;Em Obras
Reta;Retorno Regulamentado;Viaduto
Interseção de Vias;Reta;Viaduto;Em Obras
Reta;Ponte;Interseção de Vias;Viaduto
Viaduto;Rotatória;Curva;Em Obras
Reta;Declive;Interseção de Vias;Rotatória;Ponte;Em Obras
Rotatória;Viaduto;Interseção de Vias;Retorno Regulamentado;Reta
Reta;Retorno Regulamentado;Aclive;Interseção de Vias;Em Obras
Declive;Interseção de Vias;Ponte
Declive;Retorno Regulamentado;Rotatória
Reta;Retorno Regulamentado;Interseção de Vias;Viaduto;Em Obras
Ponte;Curva;Em Obras
Retorno Regulamentado;Em Obras;Declive;Curva
Curva;Rotatória;Viaduto
Interseção de Vias;Retorno Regulamentado;Reta;Declive
Retorno Regulamentado;Interseção de Vias;Curva;Rotatória
Reta;Em Obras;Túnel;Desvio Temporário
Reta;Em Obras;Viaduto;Interseção de Vias
Reta;Aclive;Em Obras;Desvio Temporário
Interseção de Vias;Reta;Túnel
Reta;Em Obras;Desvio Temporário;Interseção de Vias
Interseção de Vias;Desvio Temporário;Em Obras;Reta
Reta;Viaduto;Túnel;Declive;Interseção de Vias
Rotatória;Aclive;Retorno Regulamentado
Rotatória;Curva;Em Obras
Retorno Regulamentado;Aclive;Viaduto
Interseção de Vias;Aclive;Retorno Regulamentado
Em Obras;Túnel;Reta;Desvio Temporário
Interseção de Vias;Declive;Retorno Regulamentado;Viaduto
Curva;Desvio Temporário;Em Obras;Aclive
Aclive;Ponte;Curva;Viaduto
Interseção de Vias;Reta;Viaduto;Rotatória
Reta;Interseção de Vias;Viaduto;Em Obras
Viaduto;Rotatória;Curva;Interseção de Vias
Retorno Regulamentado;Interseção de Vias;Reta;Rotatória
Em Obras;Rotatória;Retorno Regulamentado
Ponte;Curva;Aclive
Declive;Desvio Temporário;Reta;Interseção de Vias
Reta;Interseção de Vias;Declive;Viaduto
Desvio Temporário;Reta;Declive;Ponte;Em Obras
Reta;Interseção de Vias;Aclive;Retorno Regulamentado
Interseção de Vias;Aclive;Reta;Rotatória
Retorno Regulamentado;Túnel;Declive
Curva;Retorno Regulamentado;Rotatória
Em Obras;Viaduto;Reta;Túnel
Desvio Temporário;Aclive;Reta;Em Obras
Interseção de Vias;Reta;Rotatória;Em Obras
Declive;Interseção de Vias;Rotatória;Reta
Declive;Interseção de Vias;Viaduto;Reta
Declive;Interseção de Vias;Reta;Rotatória
Reta;Viaduto;Aclive;Em Obras
Retorno Regulamentado;Interseção de Vias;Viaduto;Reta
Declive;Curva;Desvio Temporário
Declive;Interseção de Vias;Viaduto;Ponte
Retorno Regulamentado;Rotatória;Interseção de Vias;Reta
Aclive;Curva;Viaduto;Retorno Regulamentado;Rotatória
Declive;Rotatória;Reta;Retorno Regulamentado
Declive;Curva;Rotatória;Viaduto
Interseção de Vias;Curva;Rotatória;Em Obras;Viaduto
Curva;Interseção de Vias;Ponte
Interseção de Vias;Reta;Retorno Regulamentado;Declive
Desvio Temporário;Em Obras;Retorno Regulamentado
Interseção de Vias;Reta;Declive;Rotatória
Interseção de Vias;Declive;Viaduto;Túnel;Reta
Interseção de Vias;Em Obras;Desvio Temporário;Reta
Interseção de Vias;Reta;Desvio Temporário
Curva;Interseção de Vias;Rotatória;Em Obras;Declive
Interseção de Vias;Aclive;Reta;Viaduto
Interseção de Vias;Rotatória;Reta;Declive
Viaduto;Declive;Em Obras
Interseção de Vias;Aclive;Reta;Retorno Regulamentado;Rotatória
Curva;Ponte;Interseção de Vias;Aclive;Em Obras;Viaduto
Curva;Túnel;Viaduto
Retorno Regulamentado;Curva;Interseção de Vias;Viaduto
